epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2045.56,1.08487,0.53586,1.18681,0.95311,0.97688,0.96882,0.59939,1.35155,0.51536,1.40569,0.0011288,0.0011288,0.0011288
90,2073.13,1.10014,0.53052,1.19252,0.95248,0.9711,0.96601,0.58582,1.40814,0.51249,1.43431,0.0011189,0.0011189,0.0011189
91,2100.75,1.05247,0.52339,1.15931,0.96563,0.97441,0.97237,0.59924,1.37474,0.49023,1.41576,0.001109,0.001109,0.001109
92,2128.37,1.0924,0.54686,1.19977,0.97253,0.95954,0.97172,0.60221,1.32354,0.50175,1.35684,0.0010991,0.0010991,0.0010991
93,2156.57,1.08667,0.52695,1.17926,0.9655,0.97047,0.97305,0.59575,1.2944,0.49466,1.34845,0.0010892,0.0010892,0.0010892
94,2184.53,1.10018,0.53418,1.19891,0.95326,0.97688,0.961,0.59238,1.34941,0.5171,1.40358,0.0010793,0.0010793,0.0010793
95,2212.22,1.07004,0.52665,1.18707,0.95264,0.97688,0.96288,0.58551,1.33197,0.50969,1.36829,0.0010694,0.0010694,0.0010694
96,2240.16,1.05513,0.51258,1.1638,0.93895,0.97786,0.97958,0.60668,1.35279,0.50918,1.38882,0.0010595,0.0010595,0.0010595
97,2267.88,1.04121,0.50458,1.17243,0.97687,0.97668,0.97234,0.59864,1.32292,0.48919,1.37374,0.0010496,0.0010496,0.0010496
98,2295.69,1.05638,0.50185,1.17015,0.95447,0.96947,0.96751,0.58529,1.40222,0.52241,1.44367,0.0010397,0.0010397,0.0010397
99,2323.4,1.0908,0.51712,1.18811,0.94988,0.98598,0.98045,0.62321,1.26425,0.49751,1.33176,0.0010298,0.0010298,0.0010298
100,2351.16,1.02594,0.51497,1.16256,0.95424,0.96438,0.96897,0.60642,1.33455,0.50817,1.39591,0.0010199,0.0010199,0.0010199
101,2378.8,1.03731,0.5118,1.16834,0.95389,0.97688,0.97021,0.6042,1.32452,0.48268,1.4024,0.00101,0.00101,0.00101
102,2406.26,1.02385,0.50689,1.16703,0.95386,0.9711,0.97226,0.5966,1.38038,0.50551,1.45354,0.0010001,0.0010001,0.0010001
103,2433.88,1.03191,0.50137,1.16603,0.95592,0.95954,0.97509,0.60664,1.34312,0.52405,1.41151,0.0009902,0.0009902,0.0009902
104,2461.62,1.01491,0.49167,1.16452,0.95379,0.97688,0.98402,0.60693,1.33413,0.49964,1.41362,0.0009803,0.0009803,0.0009803
105,2489.4,1.02381,0.5048,1.15222,0.96585,0.98084,0.9761,0.60528,1.3551,0.50463,1.43986,0.0009704,0.0009704,0.0009704
106,2517.03,1.01204,0.50005,1.16325,0.96436,0.98266,0.97015,0.5809,1.37656,0.51963,1.46369,0.0009605,0.0009605,0.0009605
107,2544.78,1.01569,0.49231,1.16076,0.96599,0.98506,0.98219,0.60596,1.33672,0.49591,1.4095,0.0009506,0.0009506,0.0009506
108,2572.45,1.01177,0.48414,1.14099,0.97082,0.96156,0.97281,0.61076,1.32682,0.4859,1.37076,0.0009407,0.0009407,0.0009407
109,2599.85,1.00996,0.49266,1.16051,0.96352,0.97688,0.96975,0.58907,1.38508,0.5031,1.41592,0.0009308,0.0009308,0.0009308
110,2627.34,1.00997,0.49375,1.15567,0.9655,0.97065,0.96658,0.60415,1.35488,0.48324,1.38867,0.0009209,0.0009209,0.0009209
111,2654.59,1.0222,0.49193,1.15645,0.9601,0.97363,0.97096,0.5989,1.35546,0.48042,1.38857,0.000911,0.000911,0.000911
112,2682.17,1.0078,0.48236,1.14333,0.97487,0.9711,0.98345,0.60205,1.38256,0.52539,1.41418,0.0009011,0.0009011,0.0009011
113,2710.16,0.98702,0.47313,1.13945,0.96906,0.9711,0.97088,0.60129,1.34788,0.47614,1.40211,0.0008912,0.0008912,0.0008912
114,2737.88,0.99322,0.48767,1.14528,0.96581,0.97965,0.98677,0.6068,1.34305,0.4803,1.41717,0.0008813,0.0008813,0.0008813
115,2755.83,0.98417,0.47338,1.15029,0.98245,0.9708,0.98505,0.60941,1.31244,0.46103,1.40562,0.0008714,0.0008714,0.0008714
116,2773.58,0.99702,0.4818,1.15411,0.98255,0.97648,0.98043,0.59674,1.37136,0.48447,1.44757,0.0008615,0.0008615,0.0008615
117,2791.13,0.95963,0.46869,1.13244,0.97011,0.9711,0.98367,0.60042,1.37267,0.49455,1.45634,0.0008516,0.0008516,0.0008516
118,2808.04,1.00358,0.48468,1.15037,0.97251,0.98266,0.98383,0.60504,1.34936,0.46263,1.42876,0.0008417,0.0008417,0.0008417
119,2825.57,0.95621,0.46124,1.12478,0.96608,0.98788,0.98142,0.60983,1.35343,0.49265,1.42504,0.0008318,0.0008318,0.0008318
120,2843.4,0.97483,0.49062,1.14769,0.95941,0.98266,0.98042,0.6024,1.3403,0.49263,1.42167,0.0008219,0.0008219,0.0008219
121,2861.41,0.96115,0.47863,1.13188,0.95858,0.97688,0.98309,0.59897,1.37452,0.485,1.45602,0.000812,0.000812,0.000812
122,2878.4,0.9775,0.47002,1.12833,0.97121,0.97482,0.97989,0.5871,1.37002,0.48156,1.43548,0.0008021,0.0008021,0.0008021
123,2895.51,0.98604,0.48148,1.14273,0.97159,0.98844,0.98155,0.59949,1.33761,0.48376,1.42528,0.0007922,0.0007922,0.0007922
124,2912.98,0.96735,0.47223,1.13494,0.95884,0.9711,0.97827,0.60261,1.35701,0.49558,1.42952,0.0007823,0.0007823,0.0007823
125,2930.93,0.95773,0.4616,1.13009,0.97684,0.9711,0.98327,0.59419,1.36871,0.50676,1.45149,0.0007724,0.0007724,0.0007724
126,2948.54,0.97542,0.47299,1.13734,0.98102,0.96532,0.9844,0.59402,1.35852,0.46836,1.4565,0.0007625,0.0007625,0.0007625
127,2966.34,0.935,0.46226,1.12608,0.95878,0.98844,0.9853,0.60149,1.3742,0.48604,1.46985,0.0007526,0.0007526,0.0007526
128,2984.12,0.94712,0.46831,1.11626,0.97142,0.9711,0.98764,0.60667,1.36003,0.48233,1.44654,0.0007427,0.0007427,0.0007427
129,3002.1,0.95345,0.46243,1.12982,0.96501,0.9711,0.97764,0.59652,1.34038,0.49408,1.45652,0.0007328,0.0007328,0.0007328
130,3019.91,0.94975,0.46178,1.11695,0.97669,0.96882,0.98594,0.61209,1.32611,0.46448,1.43066,0.0007229,0.0007229,0.0007229
